id,municipios_id,mun_desc,partidos_id,part_desc,novotos,,
,1,APOZOL,1,PAN,36,,
,2,APULCO,1,PAN,123,,
,3,ATOLINGA,1,PAN,423,,
,4,BENITO JUAREZ,1,PAN,900,,
,5,CALERA,1,PAN,3060,,
,6,CAÑITAS DE FELIPE PESCADOR,1,PAN,20,,
,7,CONCEPCIÓN DEL ORO,1,PAN,72,,
,8,CUAUHTÉMOC,1,PAN,107,,
,9,CHALCHIHUITES,1,PAN,100,,
,10,FRESNILLO,1,PAN,5113,,
,11,TRINIDAD GARCÍA DE LA CADENA,1,PAN,185,,
,12,GENARO CODINA,1,PAN,176,,
,13,GENERAL ENRIQUE ESTRADA,1,PAN,306,,
,14,GRAL.  FRANCISCO R.,1,PAN,51,,
,15,EL PLATEADO DE JOAQUÍN AMARO,1,PAN,24,,
,16,GENERAL PÁNFILO NATERA,1,PAN,286,,
,16,GUADALUPE,1,PAN,6380,,
,18,HUANUSCO,1,PAN,400,,
,19,JALPA,1,PAN,1362,,
,20,MORELOS,1,PAN,190,,
,20,JEREZ,1,PAN,6221,,
,21,JIMÉNEZ DEL TEÚL,1,PAN,29,,
,22,JUAN ALDAMA,1,PAN,1472,,
,23,JUCHIPILA,1,PAN,1732,,
,24,LORETO,1,PAN,237,,
,25,LUIS MOYA,1,PAN,109,,
,26,MAZAPIL,1,PAN,63,,
,27,MELCHOR  OCAMPO,1,PAN,3,,
,28,MEZQUITAL DEL ORO,1,PAN,9,,
,29,MIGUEL AUZA,1,PAN,953,,
,30,MOMAX,1,PAN,793,,
,31,MONTE ESCOBEDO,1,PAN,361,,
,33,MOYAHUA DE ESTRADA,1,PAN,274,,
,34,NOCHISTLÁN  DE MEJÍA,1,PAN,1435,,
,35,NORIA DE ÁNGELES,1,PAN,58,,
,36,OJOCALIENTE,1,PAN,496,,
,37,PÁNUCO,1,PAN,296,,
,38,PINOS,1,PAN,282,,
,39,RÍO GRANDE,1,PAN,1718,,
,40,SAÍN ALTO,1,PAN,246,,
,41,EL SALVADOR,1,PAN,2,,
,42,SOMBRERETE,1,PAN,7244,,
,43,SUSTICACÁN,1,PAN,21,,
,44,TABASCO,1,PAN,1653,,
,45,TEPECHITLÁN,1,PAN,152,,
,46,TEPETONGO,1,PAN,81,,
,47,TEÚL DE GONZÁLEZ,1,PAN,240,,
,48,TLALTENANGO,1,PAN,3434,,
,49,VALPARAISO,1,PAN,967,,
,50,VETAGRANDE,1,PAN,77,,
,51,VILLA DE COS,1,PAN,2996,,
,52,VILLA GARCÍA,1,PAN,95,,
,53,VILLA GONZÁLEZ ORTEGA,1,PAN,2687,,
,54,VILLA HIDALGO,1,PAN,44,,
,55,VILLANUEVA,1,PAN,679,,
,56,ZACATECAS,1,PAN,6321,,
,57,TRANCOSO,1,PAN,126,,
,58,SANTA MARÍA DE LA PAZ,1,PAN,590,,
,,,,,63510,,
,1,APOZOL,2,PRI,1050,,
,2,APULCO,2,PRI,1098,,
,3,ATOLINGA,2,PRI,373,,
,4,BENITO JUAREZ,2,PRI,175,,
,5,CALERA,2,PRI,1062,,
,6,CAÑITAS DE FELIPE PESCADOR,2,PRI,108,,
,7,CONCEPCIÓN DEL ORO,2,PRI,2360,,
,8,CUAUHTÉMOC,2,PRI,1030,,
,9,CHALCHIHUITES,2,PRI,2260,,
,10,FRESNILLO,2,PRI,23508,,
,11,TRINIDAD GARCÍA DE LA CADENA,2,PRI,357,,
,12,GENARO CODINA,2,PRI,309,,
,13,GENERAL ENRIQUE ESTRADA,2,PRI,284,,
,14,GRAL.  FRANCISCO R.,2,PRI,4537,,
,15,EL PLATEADO DE JOAQUÍN AMARO,2,PRI,184,,
,16,GENERAL PÁNFILO NATERA,2,PRI,3122,,
,16,GUADALUPE,2,PRI,14916,,
,18,HUANUSCO,2,PRI,576,,
,19,JALPA,2,PRI,1056,,
,20,MORELOS,2,PRI,439,,
,20,JEREZ,2,PRI,6787,,
,21,JIMÉNEZ DEL TEÚL,2,PRI,728,,
,22,JUAN ALDAMA,2,PRI,654,,
,23,JUCHIPILA,2,PRI,750,,
,24,LORETO,2,PRI,1718,,
,25,LUIS MOYA,2,PRI,212,,
,26,MAZAPIL,2,PRI,2090,,
,27,MELCHOR  OCAMPO,2,PRI,11,,
,28,MEZQUITAL DEL ORO,2,PRI,115,,
,29,MIGUEL AUZA,2,PRI,1205,,
,30,MOMAX,2,PRI,433,,
,31,MONTE ESCOBEDO,2,PRI,1478,,
,33,MOYAHUA DE ESTRADA,2,PRI,697,,
,34,NOCHISTLÁN  DE MEJÍA,2,PRI,2218,,
,35,NORIA DE ÁNGELES,2,PRI,2490,,
,36,OJOCALIENTE,2,PRI,5163,,
,37,PÁNUCO,2,PRI,2669,,
,38,PINOS,2,PRI,15790,,
,39,RÍO GRANDE,2,PRI,3540,,
,40,SAÍN ALTO,2,PRI,1781,,
,41,EL SALVADOR,2,PRI,15,,
,42,SOMBRERETE,2,PRI,9157,,
,43,SUSTICACÁN,2,PRI,308,,
,44,TABASCO,2,PRI,601,,
,45,TEPECHITLÁN,2,PRI,1196,,
,46,TEPETONGO,2,PRI,1356,,
,47,TEÚL DE GONZÁLEZ,2,PRI,846,,
,48,TLALTENANGO,2,PRI,1485,,
,49,VALPARAISO,2,PRI,2238,,
,50,VETAGRANDE,2,PRI,1253,,
